Date,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AAL,AMGN,ADI,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CELG,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,COST,CSX,CTRP,DLTR,EBAY,EA,EXPE,FB,FAST,FISV,FOX,FOXA,GILD,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,JD,KLAC,LRCX,LBTYA,LBTYK,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MDLZ,MNST,MYL,NTAP,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,QCOM,REGN,ROST,SIRI,SWKS,SBUX,SYMC,SNPS,TMUS,TTWO,TSLA,TXN,KHC,ULTA,UAL,VRSN,VRSK,VRTX,WBA,WDAY,WDC,WLTW,WYNN,XEL,XLNX
2017-01-03,35.94153594970703,103.4800033569336,11.43000030517578,122.62999725341795,96.95999908447266,808.010009765625,786.1400146484375,753.6699829101562,45.21060180664063,140.14018249511722,68.79965972900389,111.70983123779295,30.745849609375,107.17764282226562,76.18000030517578,98.64874267578124,168.3000030517578,291.7099914550781,85.83999633789062,1477.5699462890625,167.9203643798828,25.34000015258789,118.75,49.4000015258789,285.7699890136719,84.56999969482422,113.76017761230469,28.21759414672852,71.29862976074219,55.08131408691406,33.039443969726555,,34.643768310546875,40.4900016784668,77.44999694824219,29.61354255676269,79.16999816894531,109.7209243774414,116.86000061035156,45.34756088256836,53.66999816894531,27.21911811828613,27.93019676208496,69.17603302001953,74.89718627929688,61.14902114868164,117.5999984741211,131.1300048828125,102.31999969482422,34.29109573364258,112.0245361328125,213.92999267578125,94.5553741455078,25.81999969482422,74.40303039550781,103.06748962402344,30.649999618530273,29.79999923706055,66.84999847412111,79.932861328125,35.7979850769043,160.6457061767578,61.10535049438477,22.54999923706055,59.69469451904297,42.7580451965332,45.540000915527344,39.11000061035156,33.891281127929695,212.9515838623047,127.48999786376952,101.11163330078124,96.83272552490234,280.82000732421875,59.50638961791992,56.3643913269043,40.25,97.7397003173828,59.837791442871094,379.70001220703125,64.10543060302734,4.3559303283691415,72.38491821289062,52.59025955200195,23.24485206604004,59.36999893188477,58.31999969482422,49.22000122070313,216.9900054931641,68.96394348144531,79.41402435302734,256.67999267578125,72.70999908447266,77.30999755859375,81.162109375,74.88999938964844,78.29615020751953,68.37999725341797,64.82099151611328,119.06044006347656,83.1924819946289,37.82268524169922,56.32596206665039
2017-01-04,36.64781188964844,104.13999938964844,11.43000030517578,127.11000061035156,97.7699966430664,807.77001953125,786.9000244140625,757.1799926757812,45.60118865966797,142.1298370361328,68.65733337402344,111.58477783203124,31.03463363647461,106.6633529663086,77.5199966430664,98.80126190185548,171.9600067138672,294.04998779296875,86.87000274658203,1487.2900390625,166.724609375,25.56999969482422,118.5500030517578,47.93000030517578,291.54998779296875,84.91999816894531,114.72838592529295,28.04986000061035,71.40937805175781,55.86094665527344,33.43180465698242,,35.35807418823242,41.34000015258789,79.44999694824219,29.534149169921875,80.62999725341797,110.98947143554688,118.69000244140624,45.56005096435547,54.32500076293945,27.46214485168457,28.22195053100586,71.24683380126953,75.96714782714844,61.39215850830078,115.9499969482422,135.17999267578122,102.83999633789062,34.11309051513672,112.2490692138672,209.8300018310547,95.58135223388672,25.85000038146973,74.14068603515625,103.12513732910156,31.35000038146973,30.31999969482422,69.41000366210939,79.77783203125,36.17802810668945,165.4345703125,61.07664108276367,22.36000061035156,59.42759704589844,42.71037673950195,46.02000045776367,39.63000106811523,34.149913787841804,213.47872924804688,129.41000366210938,103.47066497802734,97.46730041503906,282.1099853515625,60.32629013061523,56.576698303222656,41.0,97.92648315429688,59.90183639526367,383.1099853515625,65.02387237548828,4.444226741790772,72.23078918457031,53.19835662841797,23.44816398620605,59.56999969482422,58.81999969482422,50.13999938964844,226.9900054931641,68.87959289550781,78.96038818359375,260.92001342773443,73.0199966430664,78.95999908447266,81.80086517333984,77.05000305175781,78.31503295898438,71.36000061035156,65.85730743408203,120.52890014648438,85.87488555908203,37.99029159545898,55.91593933105469
2017-01-05,37.21675491333008,105.91000366210938,11.239999771118164,139.17999267578122,94.81999969482422,813.02001953125,794.02001953125,780.4500122070312,44.81024932861328,142.23211669921875,67.67056274414061,112.15222930908205,30.899866104125977,107.94424438476562,76.93000030517578,98.21031188964844,177.47000122070312,293.57000732421875,86.29000091552734,1503.699951171875,164.0975799560547,25.65999984741211,118.76000213623048,47.6500015258789,296.1700134277344,86.66000366210938,113.72105407714844,28.115089416503906,71.38565063476562,55.63680648803711,33.565780639648445,,35.7055778503418,42.79999923706055,78.05999755859375,29.78225135803223,78.95999908447266,111.91651916503906,120.66999816894531,45.02882766723633,54.30500030517578,27.54963684082031,28.202495574951172,70.9017105102539,78.56695556640625,61.062744140625,115.95999908447266,134.55999755859378,104.80999755859376,34.056869506835945,112.94221496582031,210.97000122070312,94.96576690673828,26.29999923706055,73.47544860839844,102.8945083618164,32.31999969482422,31.10000038146973,68.73000335693361,79.23527526855469,35.63114547729492,170.8818817138672,59.89952087402344,22.11000061035156,59.42759704589844,42.90105438232422,46.18999862670898,39.15999984741211,33.872119903564446,223.73780822753903,131.80999755859378,100.8440170288086,97.5664520263672,282.80999755859375,59.34241104125977,56.17053604125977,41.060001373291016,97.79573822021484,59.97503662109375,380.9200134277344,64.18358612060547,4.552143573760986,71.82624816894531,53.64491271972656,23.86445426940918,59.790000915527344,57.61000061035156,49.36000061035156,226.75,68.34534454345703,78.50675201416016,264.1400146484375,70.93000030517578,79.80000305175781,81.50144958496094,79.05999755859375,78.36222076416016,72.27999877929688,65.86665344238281,121.68819427490234,86.97827911376953,37.99029159545898,55.23891830444336
2017-01-06,37.18732833862305,108.3000030517578,11.31999969482422,143.61000061035156,94.08000183105469,825.2100219726562,806.1500244140625,795.989990234375,45.12271499633789,145.76510620117188,67.93622589111328,113.4025421142578,30.84211349487305,107.82780456542969,79.30000305175781,98.27703857421876,176.3800048828125,295.0,86.8499984741211,1520.5699462890625,166.27261352539062,25.649999618530273,119.63999938964844,47.54999923706055,298.1600036621094,87.23999786376953,114.13180541992188,28.171003341674805,71.99476623535156,56.39694213867188,33.623199462890625,,36.21717071533203,42.5,77.08999633789062,30.81435966491699,79.01000213623047,113.63394927978516,123.41000366210938,44.92258071899414,54.915000915527344,28.045412063598636,28.70819854736328,70.41665649414062,77.778564453125,61.2470588684082,118.36000061035156,141.49000549316406,108.30999755859376,34.17866897583008,114.42069244384766,212.0366668701172,95.4543228149414,26.270000457763672,74.14068603515625,103.39418029785156,33.34000015258789,32.09999847412109,68.26999664306639,79.73908233642578,36.83615112304688,171.75982666015625,60.94266128540039,22.040000915527344,59.94270324707031,42.958255767822266,45.61999893188477,38.5,33.747589111328125,221.54151916503903,131.07000732421878,102.19203186035156,97.37806701660156,281.7799987792969,60.01653671264648,56.5582389831543,41.45000076293945,97.65563201904295,59.95672988891602,358.67999267578125,63.81231307983398,4.473657608032227,72.20189666748047,54.28150939941406,24.21298217773437,60.0,56.77000045776367,49.95000076293945,229.00999450683597,69.49818420410156,78.30714416503906,263.29998779296875,71.37000274658203,80.8499984741211,82.22004699707031,79.38999938964844,78.42828369140625,73.8499984741211,65.70793151855469,122.48038482666016,87.91999053955078,38.10202026367188,56.30689239501953
2017-01-09,36.98133087158203,108.56999969482422,11.489999771118164,144.77000427246094,94.79000091552734,827.1799926757812,806.6500244140625,796.9199829101562,45.97225570678711,147.68038940429688,68.25882720947266,114.44124603271484,31.55444145202637,109.1572036743164,79.58999633789062,97.6670379638672,177.16000366210938,299.0199890136719,91.02999877929688,1529.6400146484375,166.6304168701172,25.71999931335449,120.20999908447266,47.9900016784668,296.260009765625,87.19999694824219,112.93865966796876,28.124408721923828,71.82073974609375,55.13978958129883,33.89115524291992,,35.7055778503418,43.2400016784668,77.13999938964844,30.51663589477539,78.63999938964844,114.4634017944336,124.9000015258789,44.59417724609375,54.04999923706055,27.9676456451416,28.65957069396973,70.74312591552734,77.52516174316406,61.66666793823242,119.0199966430664,141.5399932861328,118.52999877929688,34.30046844482422,114.07799530029295,213.76666259765625,94.65309143066406,26.26000022888184,74.57168579101562,104.60494995117188,33.790000915527344,32.700000762939446,68.19000244140625,79.6906509399414,37.67965316772461,173.70529174804688,61.65085220336914,22.34000015258789,59.75192260742188,42.60551071166992,44.400001525878906,38.95000076293945,33.747589111328125,229.29196166992188,130.94999694824222,106.33522033691406,97.27891540527344,279.39999389648443,59.27863693237305,56.32746124267578,41.400001525878906,96.62828063964844,60.06653594970703,355.05999755859375,63.9490966796875,4.5129008293151855,72.86650848388672,55.29815673828125,24.193622589111328,60.08000183105469,56.66999816894531,50.459999084472656,231.27999877929688,69.67623138427734,78.08939361572266,260.79000854492193,71.27999877929688,81.81999969482422,81.5713119506836,82.86000061035156,77.90921783447266,74.76000213623047,67.08967590332031,121.73650360107422,88.224365234375,37.52471923828125,56.31642532348633
2017-01-10,37.64837265014648,108.26000213623048,11.4399995803833,143.6699981689453,96.12999725341795,826.010009765625,804.7899780273438,795.9000244140625,47.33930969238281,147.6060028076172,68.64783477783203,114.55665588378906,31.8913631439209,109.31246948242188,79.9800033569336,97.40967559814452,180.30999755859372,297.7900085449219,90.4000015258789,1535.25,170.0200958251953,25.770000457763672,119.9800033569336,49.27000045776367,298.20001220703125,88.20999908447266,112.25406646728516,28.3107852935791,71.7099838256836,55.21775436401367,33.93421173095703,,36.12063980102539,43.709999084472656,77.95999908447266,30.02042961120605,78.8499984741211,114.77566528320312,124.3499984741211,44.92258071899414,54.1150016784668,28.113460540771484,28.85407257080078,69.96891021728516,77.76919555664062,61.99607849121094,120.70999908447266,165.0399932861328,119.3000030517578,34.234886169433594,113.68634033203124,220.73333740234372,95.48362731933594,26.899999618530273,74.32808685302734,104.23018646240234,34.009998321533196,32.709999084472656,69.90000152587889,79.38059997558594,37.90211486816406,177.37673950195312,62.0623664855957,22.479999542236328,59.73284912109375,42.10976028442383,43.5,38.95000076293945,33.76675033569336,234.2506866455078,129.88999938964844,105.5323486328125,97.79450225830078,281.29998779296875,60.35362243652344,56.13360977172852,41.08000183105469,95.2366714477539,60.0482177734375,373.0,65.23882293701172,4.542333602905273,74.46542358398438,54.994117736816406,24.32916259765625,60.68999862670898,58.7400016784668,50.81000137329102,229.8699951171875,69.91994476318361,77.94424438476562,262.5,73.66000366210938,79.25,82.10028076171875,82.93000030517578,78.0224609375,74.3499984741211,66.13739013671875,121.93936920166016,90.202880859375,37.51541137695313,55.8110466003418
2017-01-11,38.45273971557617,108.98999786376952,11.199999809265137,136.66000366210938,96.0,829.8599853515625,807.9099731445312,799.02001953125,47.49554443359375,145.61636352539062,68.904052734375,115.17219543457031,32.21864700317383,110.11788177490234,80.87000274658203,98.36280059814452,179.32000732421875,287.1099853515625,86.06999969482422,1536.1099853515625,168.93727111816406,26.11000061035156,117.23999786376952,50.5099983215332,299.5400085449219,88.48999786376953,112.7821807861328,28.09645271301269,72.4377670288086,55.558837890625,34.31222152709961,,36.71912002563477,43.97000122070313,77.80999755859375,30.17921638488769,79.0199966430664,114.3658218383789,126.08999633789062,45.81117630004883,54.27000045776367,28.61895751953125,29.252798080444336,68.812255859375,77.41252899169922,61.86666488647461,121.12000274658205,162.35000610351562,115.29000091552734,34.6190185546875,113.95071411132812,226.05332946777344,96.46075439453124,26.770000457763672,75.20880126953125,104.7298583984375,34.90999984741211,33.36999893188477,69.40000152587889,80.26228332519531,37.72599792480469,176.3391571044922,63.62229537963867,22.790000915527344,60.27656555175781,42.96779251098633,43.9900016784668,37.27999877929688,34.149913787841804,233.55763244628903,130.5,104.23388671875,97.6457748413086,281.32998657226557,60.85466003417969,56.44746780395508,41.27999877929688,95.08723449707031,60.478248596191406,364.4700012207031,65.02387237548828,4.503089904785156,75.52496337890625,55.2031478881836,24.65832328796387,60.90999984741211,57.459999084472656,51.11000061035156,229.72999572753903,70.48229217529297,78.7154312133789,262.14999389648443,75.04000091552734,80.9000015258789,82.5893325805664,81.93000030517578,79.68354034423828,81.69999694824219,66.70689392089844,121.48532104492188,88.39558410644531,37.88786697387695,55.78244400024414
2017-01-12,38.384071350097656,108.58999633789062,10.760000228881836,137.35000610351562,95.5500030517578,829.530029296875,806.3599853515625,813.6400146484375,46.96824645996094,144.4449005126953,68.52449798583984,114.6913070678711,32.06462860107422,111.3696517944336,80.6500015258789,98.93470764160156,177.57000732421875,287.7699890136719,86.16000366210938,1538.5899658203125,168.4099884033203,25.940000534057614,117.08000183105469,51.31000137329102,297.19000244140625,89.19000244140625,111.88243103027344,27.99394798278809,72.06596374511719,55.53934860229492,34.173458099365234,,37.04731369018555,43.36000061035156,77.52999877929688,30.119672775268555,79.5999984741211,115.15621948242188,126.62000274658205,46.361732482910156,54.709999084472656,28.26899719238281,28.99022102355957,68.42980194091797,78.32292938232422,61.619606018066406,120.63999938964844,162.83999633789062,117.5500030517578,34.394153594970696,114.59693908691406,221.6266632080078,96.783203125,26.61000061035156,75.0495376586914,103.94190216064452,34.919998168945305,33.400001525878906,68.62000274658203,79.34185028076172,37.51280975341797,172.78744506835938,63.62229537963867,22.309999465942386,59.72331237792969,42.796180725097656,43.11000061035156,36.77000045776367,34.30318832397461,229.809326171875,129.17999267578122,102.52903747558594,97.46730041503906,281.5799865722656,60.4265022277832,56.62285614013672,41.560001373291016,95.115234375,60.496559143066406,364.4400024414063,65.06294250488281,4.493279457092285,73.92603302001953,55.136634826660156,24.880998611450195,60.88000106811523,57.1500015258789,50.86999893188477,229.58999633789062,70.15425109863281,79.31422424316406,260.95001220703125,74.0,81.0,82.16016387939453,82.38999938964844,79.20218658447266,80.12000274658203,66.05335998535156,121.46599578857422,87.45389556884766,38.036842346191406,55.33427810668945
2017-01-13,38.20750427246094,108.52999877929688,10.579999923706056,136.92999267578122,96.01000213623048,830.9400024414062,807.8800048828125,817.1400146484375,46.52883529663086,145.15145874023438,68.95147705078125,114.48933410644531,32.526687622070305,111.88395690917969,81.31999969482422,98.90608978271484,176.47999572753906,284.75,86.91999816894531,1545.8199462890625,169.9071044921875,26.06999969482422,117.4800033569336,51.349998474121094,298.42999267578125,90.70999908447266,112.03890228271484,28.021900177001953,72.61971282958984,55.08131408691406,34.81941604614258,,37.452728271484375,43.52999877929688,77.12999725341797,30.06012725830078,80.3499984741211,115.93688201904295,128.33999633789062,46.41001892089844,55.1500015258789,28.43425750732422,29.20417404174805,68.15928649902344,78.7077407836914,62.3725471496582,120.8000030517578,162.57000732421875,117.75,34.469112396240234,114.65568542480469,221.57000732421875,97.00794219970705,26.84000015258789,76.30504608154297,106.2192840576172,34.97999954223633,33.59000015258789,67.91999816894531,80.0685043334961,38.43973159790039,176.03985595703125,63.488319396972656,22.18000030517578,59.809165954589844,42.51970672607422,44.5099983215332,36.72999954223633,34.418136596679695,232.00558471679688,133.69999694824222,102.51911926269531,97.54661560058594,279.14999389648443,61.51058578491211,56.74285888671875,41.599998474121094,94.84440612792969,61.19192886352539,368.1600036621094,65.39514923095703,4.522712230682373,75.4478988647461,54.965614318847656,25.30697250366211,61.34000015258789,57.18999862670898,51.61000061035156,237.75,70.29483795166016,78.96038818359375,261.39999389648443,74.31999969482422,80.80000305175781,82.46955871582031,83.16999816894531,79.10782623291016,80.88999938964844,66.28676605224611,120.49990844726562,86.11270141601562,37.850624084472656,55.79197311401367
2017-01-17,38.20750427246094,108.0,9.81999969482422,135.30000305175778,95.33999633789062,827.4600219726562,804.6099853515625,809.719970703125,45.65000915527344,143.92420959472656,68.58142852783203,115.4126434326172,32.055007934570305,112.47588348388672,78.62000274658203,98.23890686035156,176.9600067138672,283.010009765625,85.20999908447266,1540.1300048828125,168.64537048339844,25.79999923706055,114.9499969482422,52.540000915527344,306.1400146484375,90.38999938964844,111.16848754882812,27.947349548339844,71.90775299072266,55.13978958129883,34.718929290771484,,36.76738357543945,44.16999816894531,79.51000213623047,30.06012725830078,80.2300033569336,115.7124481201172,127.87000274658205,46.61285018920898,55.22000122070313,28.43425750732422,29.106922149658203,67.07725524902344,79.93726348876953,62.26666641235352,120.01000213623048,160.47000122070312,113.63999938964844,34.478477478027344,113.66675567626952,221.2466735839844,95.73768615722656,27.209999084472656,74.9558334350586,104.83556365966795,34.689998626708984,33.36999893188477,68.77999877929689,79.81659698486328,37.753807067871094,177.63613891601562,62.1580696105957,21.739999771118164,59.6469955444336,42.80571746826172,43.93999862670898,37.06999969482422,34.063709259033196,237.27664184570312,132.88999938964844,100.21955871582031,96.79306030273438,278.760009765625,60.9639892578125,56.17053604125977,41.27000045776367,95.44215393066406,58.73070526123047,363.239990234375,65.58079528808594,4.483469486236572,74.0608901977539,55.10813522338867,25.36506462097168,60.7400016784668,57.04999923706055,51.4000015258789,235.5800018310547,69.81684875488281,79.76786041259766,263.0599975585937,73.73999786376953,80.30999755859375,81.39166259765625,81.55000305175781,79.48533630371094,80.98999786376953,66.86561584472656,121.0795669555664,87.83438110351562,38.36274719238281,55.0482063293457
